age,fsr
38.5,0.839566542
38,0.842021112
37.5,0.844270166
37,0.846307769
36.5,0.848131068
36,0.849740361
35.5,0.851139012
35,0.852333247
34.5,0.85333188
34,0.854145935
33.5,0.854788207
33,0.855272768
32.5,0.855614466
32,0.855828491
31.5,0.855930041
31,0.855934061
30.5,0.855855046
30,0.855706906
29.5,0.855502893
29,0.855255587
28.5,0.854976957
28,0.854678465
27.5,0.854371184
27,0.854714582
26.5,0.855647381
26,0.85703295
25.5,0.858734125
25,0.860637974
24.5,0.862660697
24,0.864744128
23.5,0.86684989
23,0.868953846
22.5,0.871041694
22,0.873105753
21.5,0.875142733
21,0.877152235
20.5,0.879135759
20,0.881096054
19.5,0.883036698
19,0.884961837
18.5,0.886876012
18,0.888784053
17.5,0.890691007
17,0.892602094
16.5,0.894522677
16,0.896458241
15.5,0.898414382
15,0.900396794
14.5,0.902411264
14,0.904463662
13.5,0.906559931
13,0.908706072
12.5,0.910908123
12,0.913172143
11.5,0.915504184
11,0.91791027
10.5,0.92039637
10,0.922968363
9.5,0.925632017
9,0.928392955
8.5,0.931256639
8,0.934228351
7.5,0.937313181
7,0.940516019
6.5,0.943841549
6,0.947294244
5.5,0.950878372
5,0.954597997
4.5,0.958456982
4,0.962458997
3.5,0.966607514
3,0.970905813
2.5,0.975356981
2,0.979963908
1.5,0.984729287
1,0.989655609
0.5,0.994745156
0,1
